time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-19 00:00:00+00:00,39,11,23,5
2026-02-20 00:00:00+00:00,54,15,68,10
2026-02-21 00:00:00+00:00,65,13,98,5
2026-02-22 00:00:00+00:00,31,12,91,6
2026-02-23 00:00:00+00:00,4,4,15,3
2026-02-24 00:00:00+00:00,51,10,12,4
2026-02-25 00:00:00+00:00,3,3,11,3
2026-02-26 00:00:00+00:00,30,13,35,6
2026-02-27 00:00:00+00:00,36,9,62,7
2026-02-28 00:00:00+00:00,1,1,17,3
2026-03-01 00:00:00+00:00,31,6,48,8
2026-03-02 00:00:00+00:00,71,18,100,6
2026-03-03 00:00:00+00:00,157,30,49,10
2026-03-04 00:00:00+00:00,203,37,55,9
