time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,31,11,56,8
2026-02-11 00:00:00+00:00,0,0,31,4
2026-02-12 00:00:00+00:00,12,6,70,5
2026-02-13 00:00:00+00:00,41,16,16,2
2026-02-14 00:00:00+00:00,20,10,29,10
2026-02-15 00:00:00+00:00,83,29,123,12
2026-02-16 00:00:00+00:00,8,7,8,3
2026-02-17 00:00:00+00:00,152,35,50,7
2026-02-18 00:00:00+00:00,5,4,24,10
2026-02-19 00:00:00+00:00,39,11,23,5
2026-02-20 00:00:00+00:00,54,15,68,10
2026-02-21 00:00:00+00:00,65,13,98,5
2026-02-22 00:00:00+00:00,31,12,91,6
2026-02-23 00:00:00+00:00,4,4,15,3
