time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,4,4,15,7
2026-07-19 00:00:00+00:00,1,1,9,4
2026-07-20 00:00:00+00:00,10,3,21,4
2026-07-21 00:00:00+00:00,0,0,16,4
2026-07-22 00:00:00+00:00,1,1,9,3
2026-07-23 00:00:00+00:00,2,2,17,3
2026-07-24 00:00:00+00:00,0,0,14,7
2026-07-25 00:00:00+00:00,17,6,45,9
2026-07-26 00:00:00+00:00,1,1,46,9
2026-07-27 00:00:00+00:00,6,3,26,8
2026-07-28 00:00:00+00:00,3,3,1,1
2026-07-29 00:00:00+00:00,10,5,23,5
2026-07-30 00:00:00+00:00,1,1,21,6
2026-07-31 00:00:00+00:00,8,3,36,4
