time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,76,22,51,6
2026-03-30 00:00:00+00:00,4,4,7,3
2026-03-31 00:00:00+00:00,1,1,23,8
2026-04-01 00:00:00+00:00,11,3,23,5
2026-04-02 00:00:00+00:00,33,10,99,6
2026-04-03 00:00:00+00:00,61,14,41,7
2026-04-04 00:00:00+00:00,87,21,60,6
2026-04-05 00:00:00+00:00,37,19,32,4
2026-04-06 00:00:00+00:00,2,2,12,2
2026-04-07 00:00:00+00:00,41,9,25,5
2026-04-08 00:00:00+00:00,35,10,30,4
2026-04-09 00:00:00+00:00,50,17,48,4
2026-04-10 00:00:00+00:00,46,19,38,8
2026-04-11 00:00:00+00:00,3,3,27,7
