time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,7,6,33,12
2026-07-02 00:00:00+00:00,6,4,17,5
2026-07-03 00:00:00+00:00,36,14,10,2
2026-07-04 00:00:00+00:00,5,4,109,11
2026-07-05 00:00:00+00:00,24,8,56,9
2026-07-06 00:00:00+00:00,2,2,44,12
2026-07-07 00:00:00+00:00,4,4,8,3
2026-07-08 00:00:00+00:00,17,6,21,3
2026-07-09 00:00:00+00:00,14,7,21,4
2026-07-10 00:00:00+00:00,25,11,18,6
2026-07-11 00:00:00+00:00,22,10,8,2
2026-07-12 00:00:00+00:00,53,17,16,3
2026-07-13 00:00:00+00:00,16,8,13,4
2026-07-14 00:00:00+00:00,16,7,43,5
